epoch,train_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,learning_rate,val_precision_tumor,val_recall_tumor,val_f1_tumor,val_precision_lymphocyte,val_recall_lymphocyte,val_f1_lymphocyte,val_precision_histiocyte,val_recall_histiocyte,val_f1_histiocyte
1,0.7185238651772763,0.6784000000004288,0.6768765166152771,0.6784000000012864,0.6772101274998423,0.64909669305339,0.7538095238106961,0.7556054027038606,0.7538095238130408,0.7537226179740087,5e-05,0.8093750000029786,0.7400000000037142,0.773134329825835,0.7454068241503228,0.8114285714312653,0.7770177852930582,0.7120343839582803,0.7100000000041429,0.7110157388031331
2,0.5214601980878951,0.7813333333336249,0.7808260816453042,0.781333333334208,0.7809304984474097,0.6670459382461779,0.735238095239356,0.7442600678123851,0.7352380952418777,0.7329467902362863,4.9806810182204715e-05,0.8236363636395703,0.647142857147898,0.7248000018755203,0.6990846681956626,0.8728571428589592,0.7763659480582854,0.7100591716019222,0.6857142857187755,0.6976744207750529
3,0.45077487585392406,0.8190666666669079,0.8197334567918749,0.8190666666673904,0.8193324683153819,0.6412744449846672,0.7461904761916848,0.7471177135915701,0.746190476194102,0.7459289396947457,4.9230287447651464e-05,0.7718750000035645,0.7057142857184898,0.7373134346175466,0.7581521739163295,0.7971428571457551,0.7771587758091534,0.711325966854816,0.7357142857180612,0.7233146086575372
4,0.40048952489457235,0.8433333333335422,0.8438140759833627,0.84333333333396,0.8435141072665845,0.6340886724717689,0.7533333333345079,0.7576075634633233,0.7533333333368571,0.7534118571146515,4.827952390426216e-05,0.8225538971837055,0.7085714285755919,0.761320032260905,0.737940026079036,0.8085714285741633,0.7716428099323331,0.7123287671272284,0.7428571428608163,0.7272727291507163
5,0.35056779752386374,0.8604000000001861,0.8609338310018281,0.8604000000005584,0.8606088702688499,0.7448300190947272,0.7371428571441089,0.7469791508777464,0.7371428571466122,0.7311108607402147,4.696951366107466e-05,0.7602836879466627,0.7657142857176327,0.7629893253999421,0.6895787139723993,0.8885714285730204,0.77652933974591,0.7910750507141769,0.5571428571491837,0.653813917074792
6,0.30780414254107374,0.8766666666668311,0.8769168094775335,0.8766666666671599,0.8767591602902643,0.641968142128352,0.7719047619058481,0.7751053712326536,0.7719047619080204,0.7723694915930936,4.532091636218621e-05,0.8267090620059346,0.7428571428608163,0.782543267001973,0.7807262569863027,0.7985714285743061,0.7895480239344095,0.7178807947057234,0.7742857142889388,0.7450171838428985
7,0.268789653004484,0.8970666666668039,0.8972988425460825,0.8970666666670785,0.897156022274635,0.770915060106552,0.749047619048814,0.7514695272083585,0.7490476190512041,0.7490733587219548,4.335973137182458e-05,0.790064102567467,0.7042857142899388,0.7447129926487605,0.7664835164867241,0.7971428571457551,0.7815126064423888,0.6978609625708843,0.7457142857179184,0.720994477074715
8,0.23914355426392656,0.9097333333334537,0.9098493204247015,0.9097333333336944,0.9097742109581404,0.8148069398647005,0.7523809523821315,0.7560447984734987,0.7523809523844899,0.7513269847686929,4.111688774884289e-05,0.7981651376177651,0.7457142857179184,0.7710487459471994,0.7115151515186483,0.8385714285737347,0.7698360670616348,0.7584541062840828,0.6728571428618163,0.7130961412972442
9,0.20197679497143056,0.9233333333334356,0.9236357674574549,0.9233333333336401,0.923449764649361,0.8342181233632745,0.7566666666678253,0.7621821085448617,0.7566666666701428,0.755378313507013,3.862775647698541e-05,0.8263772954953861,0.7071428571470408,0.7621247128712313,0.720047449588137,0.8671428571447551,0.7867790032904146,0.740121580551062,0.6957142857186327,0.7172312243593931
10,0.1700280969288755,0.9388000000000816,0.9389355541206538,0.9388000000002448,0.9388523357744588,0.8354445913750114,0.7600000000011429,0.7601667208690751,0.7600000000034286,0.757434198824331,3.5931592643344276e-05,0.7477124183039515,0.8171428571454694,0.7808873734168534,0.7716955941285488,0.8257142857167755,0.7977915816689188,0.7610921501747254,0.6371428571480409,0.6936236413872207
11,0.1545292466878891,0.944266666666741,0.9444579282626204,0.9442666666668895,0.9443392193366874,0.9302597294251124,0.7357142857155442,0.741442588663045,0.7357142857180613,0.731744367633004,3.3070916362186205e-05,0.7482319660573094,0.7557142857177755,0.7519545148013665,0.7008149010512129,0.860000000002,0.7722899309037891,0.7752808988806127,0.5914285714344082,0.6709886571938566
